Near_Miss_ID,Date,Refinery_Unit,Equipment_ID,Work_Type,Department,Near_Miss_Description,PPE_NonCompliance,Supervisor_Negligence,Maintenance_Delay_or_Issue,Repeated_Issue_Ignored,Previous_Similar_Reports,Immediate_Cause,Potential_Consequence,Risk_Level,Corrective_Action,Action_Status,High_Potential_Near_Miss,source_sheet
01_P-021,2025-04-18,Loading Bay,GD-22,Routine Operation,Operations,Technician performed grinding without face shield,True,False,False,False,1,Corrective action not closed,Minor injury,Low,Increase supervisory monitoring,In Progress,0,01_PPE_NonCompliance
01_P-022,2024-06-19,CDU,P-305,Confined Space,Operations,Worker selected unsuitable respiratory protection for task,True,False,False,False,1,Deferred maintenance,Hydrocarbon release,Medium,Complete overdue inspection,Overdue,0,01_PPE_NonCompliance
01_P-023,2024-10-19,Hydrogen Unit,C-204,Inspection,Operations,Worker removed gloves during maintenance and continued work,True,False,False,False,2,Procedure not followed,Lost-time injury,High,Implement permanent corrective action,Open,0,01_PPE_NonCompliance
01_P-024,2026-02-04,Loading Bay,P-305,Routine Operation,HSE,Worker entered process area without safety helmet,True,False,False,False,0,Unsafe act,Equipment damage,High,Increase supervisory monitoring,In Progress,0,01_PPE_NonCompliance
01_P-025,2024-03-11,Hydrogen Unit,CDU-LINE-14,Routine Operation,HSE,Maintenance worker handled chemical line without chemical-resistant gloves,True,False,False,False,1,Unsafe act,Equipment damage,Low,Review permit and JSA,Closed,0,01_PPE_NonCompliance
01_P-026,2026-08-15,Hydrotreating Unit,V-215,Breakdown Maintenance,Contractor,Maintenance worker handled chemical line without chemical-resistant gloves,True,False,False,False,2,Equipment degradation,Lost-time injury,Medium,Complete overdue inspection,Overdue,0,01_PPE_NonCompliance
01_P-027,2024-11-19,Loading Bay,C-102,Hot Work,Mechanical Maintenance,Worker entered process area without safety helmet,True,False,False,False,1,Inadequate supervision,Minor injury,Low,Stop work and enforce PPE,In Progress,0,01_PPE_NonCompliance
01_P-028,2025-01-13,Loading Bay,P-101,Hot Work,Contractor,Worker worked at height without connecting safety harness,True,False,False,False,1,Unsafe act,Equipment damage,Medium,Repair/replace defective equipment,Closed,0,01_PPE_NonCompliance
01_P-029,2024-04-28,Maintenance Area,C-102,Work at Height,Mechanical Maintenance,Worker removed gloves during maintenance and continued work,True,False,False,False,0,Equipment degradation,Fire,Medium,Implement permanent corrective action,Closed,0,01_PPE_NonCompliance
01_P-030,2025-06-01,Hydrotreating Unit,P-101,Routine Operation,Electrical Maintenance,Welder worked without fire-resistant clothing,True,False,False,False,0,Corrective action not closed,Hydrocarbon release,Low,Repair/replace defective equipment,Closed,0,01_PPE_NonCompliance
01_P-031,2024-06-14,CDU,P-204,Preventive Maintenance,Contractor,Worker removed gloves during maintenance and continued work,True,False,False,False,2,Unsafe condition,Equipment damage,High,Escalate recurring issue to HSE and management,Open,0,01_PPE_NonCompliance
01_P-032,2026-05-04,FCC,P-101,Hot Work,Electrical Maintenance,Worker bypassed mandatory PPE because task was considered short,True,False,False,False,2,Corrective action not closed,Hydrocarbon release,Medium,Increase supervisory monitoring,Open,0,01_PPE_NonCompliance
01_P-033,2026-07-09,Sulfur Recovery Unit,PSV-114,Confined Space,HSE,Maintenance worker handled chemical line without chemical-resistant gloves,True,False,False,False,2,Equipment degradation,Minor injury,Medium,Repair/replace defective equipment,In Progress,0,01_PPE_NonCompliance
01_P-034,2026-06-04,Sulfur Recovery Unit,PSV-114,Confined Space,Contractor,Worker worked at height without connecting safety harness,True,False,False,False,1,Corrective action not closed,Lost-time injury,Low,Implement permanent corrective action,In Progress,0,01_PPE_NonCompliance
01_P-035,2024-09-30,Hydrogen Unit,C-102,Material Handling,Electrical Maintenance,Technician performed grinding without face shield,True,False,False,False,1,Inadequate supervision,Hydrocarbon release,Low,Increase supervisory monitoring,In Progress,0,01_PPE_NonCompliance
01_P-036,2024-08-16,VDU,PSV-114,Hot Work,Electrical Maintenance,Maintenance worker handled chemical line without chemical-resistant gloves,True,False,False,False,1,Equipment degradation,Fire,Medium,Escalate recurring issue to HSE and management,Overdue,0,01_PPE_NonCompliance
01_P-037,2025-11-26,Maintenance Area,C-204,Routine Operation,Operations,Worker entered process area without safety helmet,True,False,False,False,0,Procedure not followed,Lost-time injury,Medium,Review permit and JSA,Closed,0,01_PPE_NonCompliance
01_P-038,2026-01-16,Maintenance Area,C-102,Hot Work,Operations,Contractor used damaged safety shoes,True,False,False,False,2,Equipment degradation,Hydrocarbon release,Low,Review permit and JSA,Open,0,01_PPE_NonCompliance
01_P-039,2025-06-16,Maintenance Area,V-110,Preventive Maintenance,Contractor,Worker entered noisy compressor area without hearing protection,True,False,False,False,1,Inadequate supervision,Fire,Low,Escalate recurring issue to HSE and management,Closed,0,01_PPE_NonCompliance
01_P-040,2025-11-13,FCC,C-102,Confined Space,Contractor,Worker entered noisy compressor area without hearing protection,True,False,False,False,1,Deferred maintenance,Equipment damage,Medium,Implement permanent corrective action,In Progress,0,01_PPE_NonCompliance
01_P-041,2025-09-22,Hydrotreating Unit,C-102,Confined Space,HSE,Contractor used damaged safety shoes,True,False,False,False,2,Procedure not followed,Fire,Low,Implement permanent corrective action,Closed,0,01_PPE_NonCompliance
01_P-042,2025-04-21,Tank Farm,PSV-114,Breakdown Maintenance,Contractor,Worker selected unsuitable respiratory protection for task,True,False,False,False,2,Unsafe act,Equipment damage,Medium,Complete overdue inspection,Closed,0,01_PPE_NonCompliance
01_P-043,2024-04-05,CDU,P-101,Inspection,Instrumentation,Welder worked without fire-resistant clothing,True,False,False,False,0,Procedure not followed,Lost-time injury,Medium,Increase supervisory monitoring,Open,0,01_PPE_NonCompliance
01_P-044,2025-04-11,Utilities,C-102,Breakdown Maintenance,Contractor,Worker bypassed mandatory PPE because task was considered short,True,False,False,False,0,Equipment degradation,Hydrocarbon release,High,Stop work and enforce PPE,Open,0,01_PPE_NonCompliance
01_P-045,2026-03-08,Loading Bay,C-102,Preventive Maintenance,Instrumentation,Maintenance worker handled chemical line without chemical-resistant gloves,True,False,False,False,0,Unsafe condition,Minor injury,High,Increase supervisory monitoring,Overdue,0,01_PPE_NonCompliance
01_P-046,2025-11-14,Tank Farm,P-305,Material Handling,Instrumentation,Worker selected unsuitable respiratory protection for task,True,False,False,False,2,Inadequate supervision,Equipment damage,High,Increase supervisory monitoring,In Progress,0,01_PPE_NonCompliance
01_P-047,2026-05-10,Tank Farm,P-204,Hot Work,Mechanical Maintenance,Worker removed gloves during maintenance and continued work,True,False,False,False,1,Inadequate supervision,Fire,Medium,Complete overdue inspection,Closed,0,01_PPE_NonCompliance
01_P-048,2026-07-03,FCC,TK-302,Inspection,Operations,Worker worked at height without connecting safety harness,True,False,False,False,0,Deferred maintenance,Hydrocarbon release,Medium,Review permit and JSA,Closed,0,01_PPE_NonCompliance
01_P-049,2025-07-09,Utilities,PSV-114,Routine Operation,HSE,Contractor used damaged safety shoes,True,False,False,False,0,Deferred maintenance,Hydrocarbon release,Medium,Review permit and JSA,Open,0,01_PPE_NonCompliance
01_P-050,2026-08-23,Loading Bay,PSV-114,Inspection,Instrumentation,Welder worked without fire-resistant clothing,True,False,False,False,1,Unsafe condition,Equipment damage,High,Complete overdue inspection,Overdue,0,01_PPE_NonCompliance
01_P-051,2025-05-12,Tank Farm,P-305,Routine Operation,Instrumentation,Contractor used damaged safety shoes,True,False,False,False,1,Procedure not followed,Lost-time injury,High,Escalate recurring issue to HSE and management,Open,0,01_PPE_NonCompliance
01_P-052,2024-03-26,Hydrotreating Unit,V-215,Work at Height,Mechanical Maintenance,Worker worked at height without connecting safety harness,True,False,False,False,1,Deferred maintenance,Minor injury,Medium,Complete overdue inspection,Closed,0,01_PPE_NonCompliance
01_P-053,2026-02-18,Tank Farm,P-101,Routine Operation,Electrical Maintenance,Welder worked without fire-resistant clothing,True,False,False,False,1,Unsafe condition,Minor injury,Medium,Implement permanent corrective action,Open,0,01_PPE_NonCompliance
01_P-054,2026-03-10,Maintenance Area,P-305,Inspection,Mechanical Maintenance,Worker entered process area without safety helmet,True,False,False,False,0,Deferred maintenance,Minor injury,Medium,Implement permanent corrective action,Open,0,01_PPE_NonCompliance
01_P-055,2025-07-31,FCC,CDU-LINE-14,Preventive Maintenance,Mechanical Maintenance,Worker selected unsuitable respiratory protection for task,True,False,False,False,2,Inadequate supervision,Fire,Medium,Stop work and enforce PPE,Open,0,01_PPE_NonCompliance
01_P-056,2026-08-09,Hydrogen Unit,P-204,Inspection,Operations,Worker bypassed mandatory PPE because task was considered short,True,False,False,False,2,Equipment degradation,Hydrocarbon release,High,Increase supervisory monitoring,Closed,0,01_PPE_NonCompliance
01_P-057,2026-05-20,Utilities,FCC-LINE-08,Work at Height,Operations,Worker bypassed mandatory PPE because task was considered short,True,False,False,False,0,Procedure not followed,Equipment damage,Medium,Implement permanent corrective action,Closed,0,01_PPE_NonCompliance
01_P-058,2024-01-13,Tank Farm,TK-302,Breakdown Maintenance,Instrumentation,Worker selected unsuitable respiratory protection for task,True,False,False,False,0,Unsafe condition,Fire,High,Implement permanent corrective action,Closed,0,01_PPE_NonCompliance
01_P-059,2025-09-22,Hydrogen Unit,GD-22,Preventive Maintenance,Electrical Maintenance,Worker selected unsuitable respiratory protection for task,True,False,False,False,1,Deferred maintenance,Fire,Medium,Repair/replace defective equipment,Overdue,0,01_PPE_NonCompliance
01_P-060,2025-08-06,FCC,E-101,Inspection,Electrical Maintenance,Worker entered noisy compressor area without hearing protection,True,False,False,False,0,Corrective action not closed,Fire,High,Complete overdue inspection,Closed,0,01_PPE_NonCompliance
01_P-061,2024-10-13,Hydrogen Unit,TK-302,Confined Space,Instrumentation,Worker removed gloves during maintenance and continued work,True,False,False,False,0,Procedure not followed,Minor injury,Medium,Increase supervisory monitoring,In Progress,0,01_PPE_NonCompliance
01_P-062,2025-12-08,Hydrotreating Unit,C-102,Confined Space,Contractor,Worker selected unsuitable respiratory protection for task,True,False,False,False,1,Unsafe condition,Minor injury,Low,Complete overdue inspection,Closed,0,01_PPE_NonCompliance
01_P-063,2025-04-29,Tank Farm,C-204,Hot Work,Electrical Maintenance,Contractor used damaged safety shoes,True,False,False,False,2,Unsafe condition,Fire,Medium,Stop work and enforce PPE,In Progress,0,01_PPE_NonCompliance
01_P-064,2024-11-19,Hydrogen Unit,TK-302,Material Handling,Electrical Maintenance,Worker removed gloves during maintenance and continued work,True,False,False,False,2,Equipment degradation,Lost-time injury,Medium,Escalate recurring issue to HSE and management,Closed,0,01_PPE_NonCompliance
01_P-065,2024-04-12,Hydrotreating Unit,P-101,Breakdown Maintenance,Electrical Maintenance,Welder worked without fire-resistant clothing,True,False,False,False,0,Unsafe act,Lost-time injury,Medium,Stop work and enforce PPE,Closed,0,01_PPE_NonCompliance
01_P-066,2025-12-15,Hydrotreating Unit,E-101,Material Handling,Instrumentation,Worker selected unsuitable respiratory protection for task,True,False,False,False,0,Inadequate supervision,Equipment damage,Low,Repair/replace defective equipment,Open,0,01_PPE_NonCompliance
01_P-067,2024-09-15,VDU,CDU-LINE-14,Routine Operation,Mechanical Maintenance,Technician performed grinding without face shield,True,False,False,False,0,Unsafe condition,Hydrocarbon release,High,Increase supervisory monitoring,Closed,0,01_PPE_NonCompliance
01_P-068,2024-03-28,Maintenance Area,PSV-114,Inspection,HSE,Technician performed grinding without face shield,True,False,False,False,2,Deferred maintenance,Equipment damage,High,Review permit and JSA,Overdue,0,01_PPE_NonCompliance
01_P-069,2024-10-31,VDU,PSV-114,Inspection,Contractor,Welder worked without fire-resistant clothing,True,False,False,False,2,Unsafe condition,Equipment damage,Low,Complete overdue inspection,Open,0,01_PPE_NonCompliance
01_P-070,2024-06-09,CDU,V-215,Material Handling,Contractor,Worker worked at height without connecting safety harness,True,False,False,False,2,Procedure not followed,Lost-time injury,Low,Review permit and JSA,Closed,0,01_PPE_NonCompliance
01_P-071,2024-02-03,VDU,FCC-LINE-08,Inspection,Electrical Maintenance,Welder worked without fire-resistant clothing,True,False,False,False,2,Corrective action not closed,Hydrocarbon release,Medium,Increase supervisory monitoring,In Progress,0,01_PPE_NonCompliance
01_P-072,2025-03-11,FCC,P-204,Routine Operation,Mechanical Maintenance,Worker removed gloves during maintenance and continued work,True,False,False,False,0,Corrective action not closed,Fire,Medium,Complete overdue inspection,Closed,0,01_PPE_NonCompliance
01_P-073,2025-03-25,Hydrotreating Unit,E-207,Material Handling,Instrumentation,Worker selected unsuitable respiratory protection for task,True,False,False,False,2,Unsafe act,Hydrocarbon release,Medium,Escalate recurring issue to HSE and management,Open,0,01_PPE_NonCompliance
01_P-074,2026-06-29,VDU,C-102,Routine Operation,Contractor,Worker entered noisy compressor area without hearing protection,True,False,False,False,2,Corrective action not closed,Minor injury,Medium,Complete overdue inspection,Open,0,01_PPE_NonCompliance
01_P-075,2026-02-20,FCC,CDU-LINE-14,Confined Space,Contractor,Worker selected unsuitable respiratory protection for task,True,False,False,False,2,Corrective action not closed,Fire,High,Review permit and JSA,Open,0,01_PPE_NonCompliance
01_S-001,2025-04-26,FCC,V-110,Confined Space,Contractor,Repeated contractor PPE violations were not escalated,False,True,False,False,1,Deferred maintenance,Minor injury,Medium,Complete overdue inspection,Overdue,0,01_Supervisor_Negligence
01_S-002,2026-04-13,Sulfur Recovery Unit,P-204,Confined Space,HSE,Work continued after permit expiry,False,True,False,False,0,Corrective action not closed,Fire,Medium,Stop work and enforce PPE,Overdue,0,01_Supervisor_Negligence
01_S-003,2025-02-27,Tank Farm,FCC-LINE-08,Material Handling,Operations,Welding continued near hydrocarbon equipment without adequate controls,False,True,False,False,2,Unsafe condition,Equipment damage,Medium,Complete overdue inspection,In Progress,0,01_Supervisor_Negligence
01_S-004,2026-08-07,CDU,FCC-LINE-08,Inspection,Contractor,Work continued after permit expiry,False,True,False,False,2,Unsafe condition,Minor injury,High,Complete overdue inspection,Open,0,01_Supervisor_Negligence
01_S-005,2025-07-19,VDU,FCC-LINE-08,Breakdown Maintenance,Instrumentation,Hot work continued before required gas test was completed,False,True,False,False,0,Equipment degradation,Hydrocarbon release,Low,Complete overdue inspection,Closed,0,01_Supervisor_Negligence
01_S-006,2025-03-01,FCC,V-215,Inspection,HSE,Work continued after permit expiry,False,True,False,False,0,Procedure not followed,Equipment damage,High,Implement permanent corrective action,In Progress,0,01_Supervisor_Negligence
01_S-007,2026-06-03,Hydrotreating Unit,GD-22,Routine Operation,Electrical Maintenance,Confined-space work continued without continuous attendant supervision,False,True,False,False,1,Equipment degradation,Equipment damage,Medium,Complete overdue inspection,Overdue,0,01_Supervisor_Negligence
01_S-008,2026-06-05,Sulfur Recovery Unit,E-207,Confined Space,Instrumentation,Work continued after permit expiry,False,True,False,False,2,Inadequate supervision,Fire,High,Increase supervisory monitoring,In Progress,0,01_Supervisor_Negligence
01_S-009,2025-12-15,CDU,V-110,Material Handling,Contractor,Abnormal equipment vibration was reported but operation continued,False,True,False,False,1,Corrective action not closed,Hydrocarbon release,Medium,Review permit and JSA,Overdue,0,01_Supervisor_Negligence
01_S-010,2025-11-10,Maintenance Area,V-110,Preventive Maintenance,Instrumentation,Work continued after permit expiry,False,True,False,False,0,Unsafe act,Equipment damage,Medium,Escalate recurring issue to HSE and management,Overdue,0,01_Supervisor_Negligence
01_S-011,2024-01-16,Tank Farm,PSV-114,Hot Work,Electrical Maintenance,Repeated contractor PPE violations were not escalated,False,True,False,False,2,Procedure not followed,Minor injury,Medium,Implement permanent corrective action,Overdue,0,01_Supervisor_Negligence
01_S-012,2025-10-27,Tank Farm,GD-22,Routine Operation,HSE,Lifting operation continued despite unsafe weather conditions,False,True,False,False,2,Unsafe act,Fire,High,Repair/replace defective equipment,Closed,0,01_Supervisor_Negligence
01_S-013,2024-08-20,FCC,TK-302,Hot Work,Operations,Repeated contractor PPE violations were not escalated,False,True,False,False,0,Unsafe act,Hydrocarbon release,Low,Complete overdue inspection,Open,0,01_Supervisor_Negligence
01_S-014,2024-10-27,Loading Bay,V-215,Breakdown Maintenance,Mechanical Maintenance,Lifting operation continued despite unsafe weather conditions,False,True,False,False,1,Unsafe condition,Lost-time injury,Medium,Stop work and enforce PPE,Overdue,0,01_Supervisor_Negligence
01_S-015,2025-09-26,Tank Farm,FCC-LINE-08,Hot Work,Instrumentation,Work continued after permit expiry,False,True,False,False,2,Inadequate supervision,Lost-time injury,Medium,Implement permanent corrective action,Open,0,01_Supervisor_Negligence
01_S-016,2026-07-09,Tank Farm,V-110,Hot Work,Contractor,Confined-space work continued without continuous attendant supervision,False,True,False,False,2,Deferred maintenance,Minor injury,Medium,Implement permanent corrective action,Closed,0,01_Supervisor_Negligence
01_S-017,2025-04-12,Hydrogen Unit,V-215,Work at Height,HSE,Welding continued near hydrocarbon equipment without adequate controls,False,True,False,False,1,Inadequate supervision,Minor injury,High,Implement permanent corrective action,Closed,0,01_Supervisor_Negligence
01_S-018,2024-01-23,Tank Farm,GD-22,Hot Work,Mechanical Maintenance,Confined-space work continued without continuous attendant supervision,False,True,False,False,0,Procedure not followed,Equipment damage,Low,Increase supervisory monitoring,Closed,0,01_Supervisor_Negligence
01_S-019,2024-08-12,CDU,C-204,Material Handling,Operations,Abnormal equipment vibration was reported but operation continued,False,True,False,False,1,Procedure not followed,Minor injury,Medium,Complete overdue inspection,In Progress,0,01_Supervisor_Negligence
01_S-020,2024-04-02,Hydrogen Unit,P-305,Work at Height,HSE,Lifting operation continued despite unsafe weather conditions,False,True,False,False,2,Procedure not followed,Lost-time injury,High,Complete overdue inspection,In Progress,0,01_Supervisor_Negligence
01_S-021,2024-09-20,Tank Farm,P-204,Breakdown Maintenance,Mechanical Maintenance,Confined-space work continued without continuous attendant supervision,False,True,False,False,2,Corrective action not closed,Minor injury,Medium,Implement permanent corrective action,Overdue,0,01_Supervisor_Negligence
01_S-022,2026-05-16,Loading Bay,P-204,Material Handling,Electrical Maintenance,Hot work continued before required gas test was completed,False,True,False,False,1,Equipment degradation,Fire,Low,Implement permanent corrective action,Closed,0,01_Supervisor_Negligence
01_S-023,2025-08-21,CDU,CDU-LINE-14,Work at Height,HSE,Lifting operation continued despite unsafe weather conditions,False,True,False,False,0,Unsafe condition,Hydrocarbon release,Medium,Implement permanent corrective action,Open,0,01_Supervisor_Negligence
01_S-024,2025-10-12,FCC,P-101,Routine Operation,Electrical Maintenance,Confined-space work continued without continuous attendant supervision,False,True,False,False,2,Deferred maintenance,Minor injury,High,Stop work and enforce PPE,Open,0,01_Supervisor_Negligence
01_S-025,2024-08-28,Utilities,CDU-LINE-14,Breakdown Maintenance,Instrumentation,Repeated contractor PPE violations were not escalated,False,True,False,False,1,Equipment degradation,Equipment damage,Medium,Stop work and enforce PPE,Overdue,0,01_Supervisor_Negligence
01_S-026,2025-09-22,Tank Farm,E-101,Inspection,Electrical Maintenance,Confined-space work continued without continuous attendant supervision,False,True,False,False,0,Unsafe act,Lost-time injury,Medium,Implement permanent corrective action,Closed,0,01_Supervisor_Negligence
01_S-027,2025-07-11,VDU,GD-22,Material Handling,Operations,Supervisor observed missing PPE but allowed work to continue,False,True,False,False,1,Equipment degradation,Lost-time injury,Medium,Repair/replace defective equipment,Open,0,01_Supervisor_Negligence
01_S-028,2024-02-21,Loading Bay,C-102,Inspection,Mechanical Maintenance,Welding continued near hydrocarbon equipment without adequate controls,False,True,False,False,0,Inadequate supervision,Minor injury,Medium,Increase supervisory monitoring,In Progress,0,01_Supervisor_Negligence
01_S-029,2026-03-18,Hydrotreating Unit,PSV-114,Breakdown Maintenance,Operations,Confined-space work continued without continuous attendant supervision,False,True,False,False,0,Equipment degradation,Equipment damage,Medium,Increase supervisory monitoring,Open,0,01_Supervisor_Negligence
01_S-030,2024-05-14,FCC,C-204,Routine Operation,Mechanical Maintenance,Lifting operation continued despite unsafe weather conditions,False,True,False,False,0,Equipment degradation,Minor injury,Medium,Review permit and JSA,Open,0,01_Supervisor_Negligence
01_S-031,2026-02-02,Maintenance Area,P-204,Material Handling,HSE,Work continued after permit expiry,False,True,False,False,1,Unsafe condition,Equipment damage,Medium,Escalate recurring issue to HSE and management,Open,0,01_Supervisor_Negligence
01_S-032,2026-01-14,Tank Farm,GD-22,Confined Space,Instrumentation,Work continued after permit expiry,False,True,False,False,2,Equipment degradation,Minor injury,Low,Stop work and enforce PPE,Overdue,0,01_Supervisor_Negligence
01_S-033,2025-12-30,FCC,P-204,Breakdown Maintenance,Electrical Maintenance,Hot work continued before required gas test was completed,False,True,False,False,0,Procedure not followed,Equipment damage,Medium,Implement permanent corrective action,Closed,0,01_Supervisor_Negligence
01_S-034,2025-01-25,VDU,GD-22,Inspection,Instrumentation,Work continued after permit expiry,False,True,False,False,2,Deferred maintenance,Minor injury,High,Repair/replace defective equipment,Overdue,0,01_Supervisor_Negligence
01_S-035,2024-12-13,Utilities,V-110,Hot Work,Electrical Maintenance,Repeated contractor PPE violations were not escalated,False,True,False,False,1,Unsafe condition,Fire,Low,Implement permanent corrective action,Overdue,0,01_Supervisor_Negligence
01_S-036,2024-03-09,Sulfur Recovery Unit,PSV-114,Breakdown Maintenance,HSE,Hot work continued before required gas test was completed,False,True,False,False,0,Unsafe act,Minor injury,High,Escalate recurring issue to HSE and management,Closed,0,01_Supervisor_Negligence
01_S-037,2025-11-17,Hydrotreating Unit,CDU-LINE-14,Hot Work,Electrical Maintenance,Repeated contractor PPE violations were not escalated,False,True,False,False,1,Unsafe act,Minor injury,High,Escalate recurring issue to HSE and management,In Progress,0,01_Supervisor_Negligence
01_S-038,2024-06-07,Sulfur Recovery Unit,P-204,Hot Work,HSE,Welding continued near hydrocarbon equipment without adequate controls,False,True,False,False,0,Unsafe condition,Equipment damage,Medium,Increase supervisory monitoring,Overdue,0,01_Supervisor_Negligence
01_S-039,2026-05-15,FCC,C-204,Hot Work,Electrical Maintenance,Abnormal equipment vibration was reported but operation continued,False,True,False,False,2,Inadequate supervision,Minor injury,Medium,Stop work and enforce PPE,In Progress,0,01_Supervisor_Negligence
01_S-040,2026-06-09,FCC,TK-302,Routine Operation,Operations,Abnormal equipment vibration was reported but operation continued,False,True,False,False,2,Equipment degradation,Minor injury,High,Escalate recurring issue to HSE and management,In Progress,0,01_Supervisor_Negligence
01_S-041,2025-01-20,Hydrotreating Unit,TK-302,Work at Height,HSE,Work continued after permit expiry,False,True,False,False,1,Procedure not followed,Fire,Medium,Stop work and enforce PPE,Open,0,01_Supervisor_Negligence
01_S-042,2024-06-08,Tank Farm,FCC-LINE-08,Confined Space,Instrumentation,Abnormal equipment vibration was reported but operation continued,False,True,False,False,0,Procedure not followed,Fire,Low,Review permit and JSA,Overdue,0,01_Supervisor_Negligence
